query_id	document_id	relevance
related-0003	ed168a9c-548b-52be-8973-f35094117470	2
related-0007	300f8e0e-fb5c-5622-9e08-7654e6918583	2
related-0011	877c8919-9bfa-57a0-bd27-2c9fc43dcf62	2
related-0017	22cdcd0d-677c-5f96-9040-721a0df30437	2
related-0021	8d93602b-a3b9-5e5b-8ffc-f342bc774a59	2
related-0023	0a2d5660-bbd6-5708-a31a-e1fb351ba46d	2
related-0024	f3949c60-6a0f-55b8-b588-3892ffc130cd	2
related-0025	7e7a61e7-19b4-59c5-857e-121d3e9af084	2
related-0026	6f3e53a0-e1dd-5d25-81a7-a7f3ae46c093	2
related-0027	bd13b0d5-338c-598c-bc2b-76eef0139ae8	2
related-0032	fb1bf341-5410-5684-9e5d-183677b8545f	2
related-0048	649f7f02-7323-5582-b819-b5e29e3b7d7f	2
related-0050	00b46e13-2d52-5a8f-bc1c-75c90c7683c1	2
related-0061	dfe79b81-b297-5b2b-bb0e-8a981666f05a	2
related-0082	9ae1afb1-a0cf-55ea-827e-63d35164ae88	2
related-0094	478169f9-da4c-5a60-8d2c-d12b45550476	2
related-0095	3e2ddd12-f3bf-5305-974f-abe9fa2d927c	2
related-0096	663ad83b-b210-5222-acfe-5d6785c346ef	2
related-0098	ebd443f0-2672-5904-812c-1b79262d22b5	2
related-0100	febe4dd2-801d-550a-8e04-f53c806d7b33	2
